,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
260596,130417,"Benjamin Marshall ""Ben"" Wildman-Tobriner",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
260944,130580,Deron Michael Williams,M,24.0,191.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
260991,130607,James Leighman Williams,M,22.0,188.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Silver
260999,130612,Jesse Daniel Williams,M,24.0,184.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,
261096,130658,Raynell Williams,M,19.0,170.0,57.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,
261195,130708,Taraje Williams-Murray,M,23.0,170.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,
261348,130773,Aarik Wilson,M,25.0,191.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,
261866,131010,Cameron Howard Winklevoss,M,26.0,196.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,
261867,131011,Tyler Howard Winklevoss,M,26.0,196.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,
262108,131145,"Reginald Edwin ""Regi"" Witherspoon",M,23.0,178.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
263170,131681,Adam Perry Wright,M,31.0,191.0,89.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
263515,131862,"Victor Steven ""Vic"" Wunderle",M,32.0,185.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,
263516,131862,"Victor Steven ""Vic"" Wunderle",M,32.0,185.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,
263683,131950,"Marvell Wynne, II",M,22.0,175.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
264703,132463,Luis Jason Yanez,M,19.0,165.0,48.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Flyweight,
267057,133607,David Zabriskie,M,29.0,183.0,72.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
267058,133607,David Zabriskie,M,29.0,183.0,72.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,
267122,133640,"Michael Najeeb ""Mike"" Zadick",M,32.0,165.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",
269540,134871,David Yongxiang Zhuang,M,44.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,
270851,135458,Rami Zur,M,31.0,175.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
270852,135458,Rami Zur,M,31.0,175.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
